Код,Наименование,М1,М2,М3,М4,М5,М6,М7,М8,М9,М10,М11,М12,М13,М14,М15,М16,М17,М18,М19,М20,М21,М22,М23,М24,М25,М26,М27,"Цена, руб"
1097186,Переходник DEXP USB Type-C - USB x2 серебристый,М1,,,,,М6,,,,,,,М13,М14,,М16,,М18,М19,,,М22,,М24,,,,399
1176679,Переходник Partner USB Type-C - USB черный,М1,М2,М3,М4,М5,М6,М7,М8,М9,М10,М11,М12,М13,М14,М15,М16,М17,М18,М19,М20,М21,М22,М23,М24,М25,М26,М27,350
1152733,Переходник Red Line USB Type-C - USB серебристый,М1,М2,М3,М4,М5,М6,М7,М8,М9,М10,,М12,М13,,,М16,М17,М18,М19,М20,М21,М22,М23,М24,М25,М26,М27,299
1094811,Переходник Samsung USB Type-C - USB белый,,,,,,,,,,,,,,М14,,,,,,,,,,,,,,699
1116606,Переходник Samsung USB Type-C - USB черный,,,,,,,,,,,,М12,М13,М14,,,,,,,,,,М24,,,,699
1254677,Переходник Smartbuy USB Type-C - USB золотистый,,М2,,,,,,,,,М11,,М13,М14,,,,,,,,,,М24,,,,299
1254678,Переходник Smartbuy USB Type-C - USB серебристый,М1,М2,,,,,М7,М8,,,,,М13,М14,,,М17,,,,,,М23,,,,,299
1254679,Переходник Smartbuy USB Type-C - USB синий,,,,,М5,,,,,,,М12,,М14,,,,,М19,,М21,,,М24,,,,299
1254680,Переходник Smartbuy USB Type-C - USB черный,,,,,,,,,,,,,,,,,,,,,,,,М24,,,,299
172251,OTG карт-ридер Deppa,,,,,,,М7,,,,,,,,,,,,,,,,,,,,,899
800419,OTG карт-ридер DEXP OCR003,М1,,,,,М6,,,,,,М12,,,,М16,М17,,,,,,,М24,,,,190
800420,OTG карт-ридер DEXP OCR004,М1,,М3,,М5,,,М8,,М10,,М12,,М14,М15,,М17,,,М20,,,,М24,,,,199
1097184,OTG карт-ридер DEXP V16,,М2,,,,,,,,,,,,М14,,,,,,,,,,,,,,530
1285235,OTG карт-ридер Ginzzu GR-325B,,,,,,,,,,,,,,,,,,,,,,,,М24,,,,530
1091762,OTG карт-ридер Ginzzu GR-513UB,,,,,М5,М6,,,,,,М12,М13,М14,,,,,,,,,,М24,,М26,,650
1285237,OTG карт-ридер Ginzzu GR-562UB,,,,,,,,,,,,,М13,,,,,,,,,,,М24,,,,510
1091763,OTG карт-ридер Ginzzu GR-564UB,,,,,М5,,,,,,,М12,,,,,,,,,М21,,,М24,,,,650
